24
239	158	30	21	-1.15251
65	228	36	17	-0.637104
270	232	28	19	0.937476
116	197	30	24	1.51618
259	108	38	32	0.818413
226	245	37	19	1.43007
174	154	31	24	-0.0886588
196	28	27	17	0.852112
57	29	32	25	-1.41266
106	99	28	19	-1.08493
29	40	26	25	0.93564
110	66	35	29	1.49877
185	117	35	22	-1.10463
89	185	28	20	0.840697
110	264	27	26	-1.42725
215	213	31	24	-1.2688
50	249	32	29	0.268387
53	117	37	31	0.532856
146	72	25	20	-0.96124
172	35	26	22	-0.98049
272	190	20	18	1.04347
147	128	21	17	1.54626
22	221	17	17	-0.343767
279	133	38	17	0.268536
