24
216	95	31	30	-0.0402713
203	157	34	25	0.557432
168	230	19	17	-1.47491
67	173	35	27	-1.14275
219	177	26	25	-0.490114
113	221	33	23	1.13652
234	226	26	21	0.333286
40	99	27	26	-0.539569
168	270	23	19	1.02701
155	187	36	16	-1.46952
148	26	20	19	-0.593356
108	39	27	16	1.41659
24	52	36	19	0.0228017
153	83	37	22	-1.11885
81	227	29	22	1.25852
265	221	33	24	1.56907
119	146	32	27	-0.651658
172	66	20	16	-1.50952
147	143	18	18	0.342478
193	243	28	17	0.0416469
72	77	22	21	-1.18025
109	253	34	20	-0.981909
63	181	37	22	-1.48291
61	272	34	18	-1.52601
