24
214	67	36	30	-0.193595
60	183	25	18	0.0751694
29	76	29	23	0.874733
45	214	33	23	1.26273
23	45	28	19	-0.273949
106	245	21	16	-1.21855
157	209	35	17	0.272387
151	176	22	20	-1.29105
31	121	27	16	1.03877
22	123	20	16	0.549481
186	110	24	22	1.4956
136	51	25	18	1.44823
174	33	25	17	-0.129263
198	186	32	24	-0.507374
68	265	26	20	1.06896
74	215	26	19	-0.00385009
240	146	35	30	1.25925
149	264	33	20	-1.37455
129	87	25	23	0.354124
192	249	19	16	1.09097
48	53	27	20	-1.00351
100	127	31	24	-1.18013
95	276	27	21	-1.09176
266	185	26	23	-1.01087
