24
50	32	27	16	-0.0179355
194	122	35	25	-1.31414
95	159	31	29	1.23962
60	91	22	20	-1.1056
211	34	23	13	-0.478524
62	189	23	15	0.728366
203	82	29	27	1.19641
78	42	36	18	-1.35964
31	110	23	16	-0.790258
206	250	35	33	1.07379
36	285	15	11	-0.745286
231	187	32	11	0.820791
161	236	16	14	0.877016
231	129	35	15	-0.960243
227	161	17	11	-1.0767
132	189	29	13	-0.0689122
38	260	29	17	-1.31543
137	120	23	21	-1.1648
90	264	29	17	-1.38941
179	280	17	17	1.29523
257	81	31	18	1.21864
232	46	12	11	-0.572313
155	182	17	14	0.184303
270	187	28	27	-1.29716
