24
72	36	21	21	-0.603147
168	110	36	32	0.360003
129	124	21	17	0.412494
238	216	21	17	1.1334
85	244	33	16	0.0522502
71	187	38	29	-0.17301
80	123	22	11	-0.322132
235	92	29	18	-1.16797
116	171	19	12	-1.2986
271	246	23	17	-0.853966
265	197	19	16	-1.28686
53	216	35	15	0.562633
212	134	36	15	1.44877
101	226	35	23	-0.875037
250	264	19	17	0.20323
57	111	26	13	-0.828369
151	181	38	36	0.127859
83	97	22	12	-0.786046
271	84	27	18	-1.13951
184	51	38	21	-0.779235
51	58	22	21	0.776731
260	59	37	13	0.856922
26	182	33	17	-0.157346
274	273	25	20	0.965901
