24
139	63	35	20	0.81361
123	151	24	14	0.504037
233	107	35	22	-1.56327
133	267	30	14	0.490622
206	199	21	11	-1.22278
159	177	25	16	1.42399
151	23	29	12	0.864283
232	128	18	13	1.27447
114	138	14	12	1.35939
83	227	26	14	-0.295044
62	151	22	21	-1.43839
127	189	15	11	-1.49974
40	180	28	26	0.291522
75	113	19	18	1.24934
177	99	28	22	1.34762
182	56	20	20	0.281546
207	181	24	15	-1.09869
82	212	16	15	-0.36688
148	272	25	12	0.276581
82	87	26	12	-0.125723
39	99	21	21	1.23947
201	24	18	18	-0.491085
156	194	23	12	-1.39553
44	136	16	12	-0.293549
