24
225	77	30	29	0.772332
238	58	21	19	-0.280941
254	172	27	15	1.17123
52	178	30	13	-0.519946
90	74	25	22	0.439964
47	215	34	29	0.1772
131	156	29	26	-1.05203
275	227	30	17	-0.0359826
166	84	31	25	1.00488
207	156	38	34	-1.52921
163	252	36	33	0.460005
58	39	19	15	-1.41461
92	139	31	21	-0.086336
253	217	29	20	1.52362
157	66	25	18	0.579025
233	130	20	17	0.597864
171	264	34	32	0.186027
43	67	36	27	-0.953592
128	121	19	16	-0.157298
252	254	25	14	-0.083702
32	32	18	15	-0.817696
257	95	13	12	0.2978
77	225	34	14	-1.567
201	208	20	12	0.620251
